Perfume,Brand,Gender,Year,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,Rating Value,Rating Count
boss-alive-eau-de-toilette,hugo-boss,women,2021.0,"mandarin orange, apple, magnolia, lemon","jasmine sambac, clary sage, may rose","sandalwood, cedar, moss",citrus,woody,floral,fruity,white floral,3.32,352
metamber,zara,men,2024.0,black pepper,white amber,"musk, moss",amber,musky,powdery,animalic,fresh spicy,3.34,41
all-of-me,narciso-rodriguez,women,2023.0,magnolia,"rose, bourbon geranium","musk, sandalwood",rose,floral,musky,powdery,woody,3.35,831
ck-free-sport,calvin-klein,men,2014.0,"sea notes, bergamot, orange","lily-of-the-valley, lotus, jasmine","sandalwood, cedar, amber",citrus,white floral,woody,marine,aromatic,3.36,50
eternity-aromatic-essence,calvin-klein,women,2024.0,"aqual, lavender, ambrette, lime","salt, coconut water, peony, black currant",sandalwood,coconut,floral,lavender,woody,sweet,3.36,111
darcy,parfums-de-marly,women,2014.0,"citruses, orange, lemon","rose, jasmine","patchouli, sweet notes, white musk, woody notes",citrus,patchouli,woody,sweet,rose,3.36,660
ck-free,calvin-klein,men,2009.0,"juniper berries, star anise, wormwood, jackfruit","suede, tobacco, coffee, buchu or agathosma","virginia cedar, oak, patchouli, woody notes",woody,aromatic,fresh spicy,anis,soft spicy,3.37,1492
eternity-for-men-intense,calvin-klein,men,2016.0,"white pepper, grapefruit, black tea, bergamot","iris, geranium, rhubarb, lavender","vetiver, cedar, cashmere wood",fresh spicy,aromatic,woody,iris,citrus,3.38,188
joy-by-dior,dior,women,2018.0,"bergamot, mandarin orange","jasmine, grasse rose, peach, cassis","white musk, sandalwood, cedar, patchouli, benzoin",citrus,woody,powdery,white floral,musky,3.38,4346
imagine-guerlain-by-beguem-khan,guerlain,unisex,2023.0,orange blossom,benzoin,sandalwood,amber,white floral,citrus,vanilla,warm spicy,3.38,37
ultraviolet-aurore-borealis-edition,paco-rabanne,women,2004.0,pepper,osmanthus,"amber, vanilla",amber,floral,vanilla,fruity,fresh spicy,3.38,34
11-0-zara,zara,men,2019.0,"pink pepper, apple, aromatic spices, lemon zest","spices, geranium, cedar","musk, vanilla, amber, patchouli",musky,soft spicy,fruity,warm spicy,citrus,3.38,37
opus-vii-reckless-leather,amouage,unisex,2013.0,"fenugreek, galbanum, cardamom, pink pepper, nutmeg","leather, agarwood (oud), ambergris, patchouli, ambroxan","cypriol oil or nagarmotha, olibanum, sandalwood, costus, musk",amber,fresh spicy,woody,warm spicy,leather,3.39,240
boss-alive-intense,hugo-boss,women,2022.0,raspberry,vetiver,benzoin,fruity,amber,sweet,aromatic,woody,3.39,368
la-vie-est-belle-l-extrait-de-parfum,lancome,women,2015.0,"iris, black currant, pear","iris, orange blossom, jasmine","praline, tonka bean, vanilla, patchouli, spun sugar",sweet,vanilla,white floral,fruity,iris,3.39,72
genius-me,paco-rabanne,unisex,2019.0,orange peel,rosemary,"metallic notes, moss",citrus,fresh spicy,metallic,aromatic,woody,3.39,115
surfing-feelings,zara,women,2021.0,sand,lotus,amber,sand,floral,amber,aquatic,ozonic,3.39,28
eternity-for-men-summer-2009,calvin-klein,men,2009.0,"gin, lime, bergamot","chamomile, basil, pepper","star anise, amber, hinoki wood",aromatic,fresh spicy,citrus,woody,herbal,3.4,30
2000-fleurs,creed,women,2001.0,"magnolia, black currant, rose, violet, mandarin orange","green tea, iris, lily, narcissus, lilac, jasmine","musk, sandalwood, amber",floral,powdery,green,white floral,fruity,3.41,140
blossom-me,paco-rabanne,unisex,2021.0,green mandarin,"orange blossom, herbal notes, mint",vetiver,citrus,green,white floral,aromatic,sweet,3.41,51
classics-12-0,zara,men,2020.0,"bergamot, cardamom, lavender, nutmeg","amber, apple, cedar, musk","moss, vanilla, tonka bean, green notes",fresh spicy,citrus,aromatic,warm spicy,lavender,3.41,29
no-day,zara,men,2019.0,cardamom,sandalwood,vanilla,vanilla,warm spicy,powdery,woody,aromatic,3.41,29
musk-aoud-absolue-precieux,roja-dove,unisex,Inconnu,"lemon, bergamot","rose de mai, jasmine, ylang-ylang","musk, leather, ambrette (musk mallow), birch, labdanum, agarwood (oud), sandalwood, patchouli, precious woods, oakmoss, nutmeg, vanilla, tonka bean",musky,woody,leather,floral,powdery,3.42,88
212-surf-for-her,carolina-herrera,women,2014.0,sea notes,woodsy notes,musk,marine,aromatic,musky,salty,woody,3.43,128
reflecting-celebrations,zara,women,2022.0,grapefruit,orange,palo santo,citrus,woody,aromatic,Unknown,Unknown,3.43,68
nude-cashmere,zara,women,2020.0,bergamot,neroli,musk,citrus,musky,fresh spicy,white floral,aromatic,3.43,37
006-glittery-mood,zara,women,2019.0,black currant,peony,musk,fruity,floral,fresh,soft spicy,rose,3.43,28
true-leather-for-her,zara,women,2020.0,saffron,amber,moss,mossy,warm spicy,earthy,amber,metallic,3.43,63
the-one-sport,dolce-gabbana,men,2012.0,"water notes, rosemary","cardamom, sequoia","musk, patchouli",aquatic,woody,aromatic,warm spicy,fresh spicy,3.44,972
classique-l-eau-d-ete-2007,jean-paul-gaultier,women,2007.0,"orange blossom, sicilian lemon, clementine, rose","jasmine, white iris, ylang-ylang, lily-of-the-valley","musk, vanilla, amber",white floral,citrus,sweet,powdery,rose,3.44,41
ancestral-papyrus,zara,unisex,2021.0,grapefruit,violet leaves,papyrus,woody,ozonic,aquatic,green,leather,3.44,71
ck-everyone-eau-de-parfum,calvin-klein,unisex,2022.0,orange,black tea,haitian vetiver,citrus,green,aromatic,woody,earthy,3.45,406
ajwad-pink-to-pink,lattafa-perfumes,unisex,2024.0,"guava, pink grapefruit, litchi, pink pepper","rose, peony, magnolia","leather, musk, ambergris, vanilla, moss",fruity,leather,tropical,citrus,animalic,3.45,117
fabulous-me,paco-rabanne,unisex,2019.0,pumpkin,rhubarb,sandalwood,woody,powdery,fruity,sweet,warm spicy,3.45,159
y-elixir,yves-saint-laurent,men,2024.0,lavender,geranium,"frankincense, oud",fresh spicy,aromatic,lavender,amber,herbal,3.45,788
classics-14-0,zara,men,2020.0,"lemon, violet, bergamot, mint","watermelon, pineapple, grapefruit, cassis, rose","watery notes, sandalwood, cedar, musk, vetiver",citrus,aquatic,aromatic,fresh,fruity,3.45,33
